RESPNO Urban/Rural "Views on Country's Economic Condition" "Discuss Politics?" Voted? Corruption Education
2138 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2139 Urban "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" "Some university" 
2140 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2141 Urban "Very bad" Never "Did not vote for some other reason" "Decreased somewhat" "Some secondary school / high school" 
2142 Urban "Very bad" Frequently "You voted in the elections" "Decreased somewhat" "University completed" 
2143 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2144 Urban "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
2145 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2146 Urban "Very bad" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
2147 Urban "Fairly bad" Occasionally "You decided not to vote" "Stayed the same" "Secondary school / high school completed" 
2148 Urban "Neither good nor bad" Never "Did not vote for some other reason" "Increased a lot" "Primary school completed" 
2149 Urban "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
2150 Urban "Neither good nor bad" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2151 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2152 Urban "Very bad" Frequently "You decided not to vote" "Increased a lot" "Inside the house"       
2153 Urban "Neither good nor bad" Frequently "Did not vote for some other reason" "Increased a lot" "Some secondary school / high school" 
2154 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2155 Urban "Fairly Good" Frequently "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
2156 Urban "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
2157 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2158 Urban "Fairly bad" Occasionally "Did not vote for some other reason" "Increased a lot" "Secondary school / high school completed" 
2159 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
2160 Urban "Very good" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2161 Urban "Very bad" Frequently "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
2162 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2163 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2164 Urban "Fairly bad" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2165 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Inside the house"       
2166 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2167 Urban "Fairly bad" Occasionally "Did not vote for some other reason" "Increased somewhat" "Some secondary school / high school" 
2168 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Primary school completed" 
2169 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2170 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
2171 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2172 Urban "Very bad" Frequently "You voted in the elections" "Increased somewhat" "University completed" 
2173 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2174 Urban "Fairly bad" Never "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
2175 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2176 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2177 Urban "Neither good nor bad" Never "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
2178 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2179 Urban "Fairly Good" Never "You decided not to vote" "Stayed the same" "Secondary school / high school completed" 
2180 Urban "Neither good nor bad" Occasionally "You did not have time to vote" "Increased a lot" "Some secondary school / high school" 
2181 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2182 Urban "Fairly bad" Occasionally "Did not vote for some other reason" "Increased a lot" "Some secondary school / high school" 
2183 Urban "Fairly bad" Frequently "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2184 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2185 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
2186 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
2187 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" Post-graduate 
2188 "Rural farm" "Fairly bad" Never "You voted in the elections" "Increased somewhat" "Some primary schooling" 
2189 "Rural farm" "Fairly bad" Never "You voted in the elections" "Increased somewhat" "No formal schooling" 
2190 "Rural farm" "Very bad" Never "You voted in the elections" "Increased a lot" "Primary school completed" 
2191 "Rural farm" "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2192 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2193 Urban "Fairly bad" Frequently "You decided not to vote" "Increased somewhat" "Post-secondary qualifications, other than university" 
2194 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2195 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2196 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2197 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
2198 Urban "Fairly bad" Frequently "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
2199 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
2200 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some primary schooling" 
2201 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2202 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
2203 Urban "Fairly Good" Never "You did not have time to vote" "Increased somewhat" "Secondary school / high school completed" 
2204 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "No formal schooling" 
2205 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Primary school completed" 
2206 Urban "Fairly Good" Frequently "You voted in the elections" "Increased somewhat" "Some primary schooling" 
2207 Urban "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2208 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2209 Urban "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
2210 Urban "Neither good nor bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
2211 Urban "Very bad" Occasionally "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
2212 Urban "Fairly bad" Never "You voted in the elections" "Stayed the same" "Some primary schooling" 
2213 Urban "Neither good nor bad" Never "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
